Year,D_Area,D_AreaAcc,-,VR_CO2_1stOrder,VR_CO2_2ndOrder,VR_CO2_2ndOrder_fire,VR_CO2_2ndOrder_decay,VR_CH4_CO2Eq_2ndOrder_fire,VR_N2O_CO2Eq_2ndOrder_fire,SV_area_total,SV_area_cleared,SV_CO2_emission,SV_CO2_absorption,net_CO2_2ndOrder,net_CO2_1rsOrder
1960,842754,842754,-,459,149,149,0,16,4,176978,0,0,0,149,459
1961,842754,1685508,-,459,247,149,98,16,4,353956,0,0,0,247,459
1962,842754,2528262,-,459,309,149,159,16,4,530935,0,0,0,309,459
1963,842754,3371016,-,459,347,149,198,16,4,707913,0,0,-3,345,456
1964,842754,4213770,-,459,373,149,224,16,4,884891,0,0,-6,368,453
1965,842754,5056524,-,459,390,149,241,16,4,1061870,0,0,-9,382,450
1966,842754,5899278,-,459,402,149,253,16,4,1238848,7070,0,-11,392,448
1967,842754,6742032,-,459,411,149,262,16,4,1415826,13857,0,-14,398,445
1968,842754,7584786,-,459,417,149,268,16,4,1592805,21566,1,-16,403,444
1969,842754,8427540,-,459,422,149,273,16,4,1769783,28155,2,-19,406,442
1970,842754,9270294,-,459,426,149,277,16,4,1946761,36507,3,-21,408,441
1971,842754,10113048,-,459,429,149,280,16,4,2123740,42849,3,-23,410,439
1972,842754,10955802,-,459,431,149,282,16,4,2300718,51831,4,-26,411,437
1973,842754,11798556,-,459,433,149,284,16,4,2477696,58217,5,-28,412,436
1974,842754,12641310,-,459,435,149,286,16,4,2654675,68514,7,-30,413,436
1975,842754,13484064,-,459,437,149,288,16,4,2831653,75265,8,-32,413,435
1976,842754,14326818,-,459,438,149,289,16,4,3008631,86970,10,-35,414,434
1977,842754,15169572,-,459,439,149,290,16,4,3185610,94070,11,-37,414,433
1978,842754,16012326,-,459,440,149,291,16,4,3362588,101127,12,-39,414,432
1979,2150000,18162326,-,1172,673,380,292,41,12,3814088,108293,13,-42,645,1143
1980,2150000,20312326,-,1172,827,380,446,41,12,4265588,115415,15,-44,799,1143
1981,2105000,22417326,-,1147,914,372,542,40,12,4707638,129570,17,-46,886,1118
1982,2105000,24522326,-,1147,970,372,598,40,12,5149688,137060,19,-53,937,1113
1983,2105000,26627326,-,1147,1007,372,634,40,12,5591738,152830,21,-59,970,1109
1984,2105000,28732326,-,1147,1032,372,660,40,12,6033788,160746,22,-65,990,1104
1985,2105000,30837326,-,1147,1050,372,677,40,12,6475838,186986,25,-71,1005,1101
1986,2105000,32942326,-,1147,1063,372,690,40,12,6917888,224934,29,-77,1015,1099
1987,2105000,35047326,-,1147,1072,372,700,40,12,7359938,249581,32,-83,1023,1096
1988,2105000,37152326,-,1147,1080,372,707,40,12,7801988,273450,35,-88,1028,1094
1989,1777000,38929326,-,968,1028,314,713,34,10,8175158,315170,40,-86,982,922
1990,1373000,40302326,-,748,923,242,680,26,8,8463488,338382,43,-92,875,699
1991,1103000,41405326,-,601,808,195,612,21,6,8695118,360325,45,-97,757,549
1992,1378600,42783926,-,751,784,243,540,26,8,8984624,382625,48,-102,731,697
1993,1489600,44273526,-,812,790,263,527,28,8,9297440,431497,53,-106,738,759
1994,1489600,45763126,-,812,794,263,531,28,8,9610256,456019,56,-108,743,760
1995,2905900,48669026,-,1584,1047,514,533,56,17,10220495,473986,60,-112,996,1532
1996,1816100,50485126,-,990,1021,321,700,35,10,10601876,486195,63,-116,969,937
1997,1322700,51807826,-,721,909,233,675,25,7,10879643,519775,66,-120,855,667
1998,1738300,53546126,-,947,911,307,603,33,10,11244686,533963,69,-129,852,887
1999,1725900,55272026,-,941,914,305,609,33,10,11607125,551578,72,-134,853,879
2000,1822600,57094626,-,993,933,322,610,35,10,11989871,572604,75,-137,872,931
2001,1816500,58911126,-,990,944,321,623,35,10,12371336,626457,80,-142,883,928
2002,2165088,59718077,-,1093,993,362,630,39,12,12540796,684795,82,-147,929,1028
2003,2539514,62257592,-,1301,1074,432,641,47,14,13528762,695042,85,-150,1010,1236
2004,2777131,65034723,-,1410,1162,469,692,51,15,14111960,719606,89,-155,1097,1344
2005,1901393,66936117,-,954,1066,320,746,34,10,14511253,742490,92,-160,1000,886
2006,1428628,68364745,-,747,936,246,689,26,8,14811265,767321,96,-166,866,677
2007,1164972,69529718,-,633,824,206,617,22,6,15055909,791493,100,-173,751,560
2008,1291096,70820815,-,699,780,229,551,25,7,15327039,864789,106,-178,709,627
2009,746365,71567180,-,438,663,141,521,15,4,15483776,961414,114,-181,596,371
2010,700000,72267180,-,415,585,134,451,14,4,15666583,1081740,123,-183,526,355
2011,641799,72908980,-,372,521,120,400,13,3,15883428,1152330,132,-186,468,318
2012,457100,73366080,-,250,440,82,357,9,2,16130180,1176632,138,-187,391,201
2013,589095,73955175,-,326,408,107,301,11,3,16450917,1178590,142,-189,363,279
2014,501199,74456375,-,276,373,91,281,9,3,16766211,1184115,147,-193,327,230
2015,620687,75077062,-,339,369,111,257,12,3,17102683,1171711,150,-197,322,292
2016,789300,75866363,-,444,398,145,252,15,4,17467119,1171004,153,-201,350,396
2017,789300,75866363,-,444,398,145,252,15,4,17467119,1171004,153,-201,350,396
